day_number,assignment_title,assignment_summary,tracker_prompt,field_key,field_label,field_type,field_required,field_options
1,Identify triggers,Write your top 5 frustration triggers.,What did you notice about your triggers today?,reflection,Daily Reflection,long_text,FALSE,
2,Identify physical cues,List your top 5 early warning signals.,What physical cues showed up today?,reflection,Daily Reflection,long_text,FALSE,
3,Create interrupt sentence,Practice your interrupt sentence aloud.,Did you practice your sentence today?,reflection,Daily Reflection,long_text,FALSE,
4,Build reset routine,Choose a 2-minute regulation routine.,How did your reset routine feel?,reflection,Daily Reflection,long_text,FALSE,
5,Share signals with wife,Explain your early cues + 2-minute pause plan.,How did sharing go today?,reflection,Daily Reflection,long_text,FALSE,
6,Observe escalation moment,Notice one moment of rising frustration.,What escalation signs appeared?,reflection,Daily Reflection,long_text,FALSE,
7,Weekly check-in,Reflect on triggers and growth so far.,What did you learn this week?,reflection,Daily Reflection,long_text,FALSE,
8,Choose daily pillars,Pick two daily tasks you will always do.,Did you complete your pillars?,reflection,Daily Reflection,long_text,FALSE,
9,Make micro-commitments,Set 3 small time-bound commitments today.,Did you follow through today?,reflection,Daily Reflection,long_text,FALSE,
10,Re-commit rule,Practice adjusting a promise responsibly.,Where did you re-commit today?,reflection,Daily Reflection,long_text,FALSE,
11,Helpful action,Do something supportive without asking.,What supportive action did you take?,reflection,Daily Reflection,long_text,FALSE,
12,Create default plans,Set recurring responsibilities for yourself.,Which default plan helped today?,reflection,Daily Reflection,long_text,FALSE,
13,Ask wife’s need,Ask what would help her this week.,What did she say she needed?,reflection,Daily Reflection,long_text,FALSE,
14,Weekly check-in,Review reliability successes + misses.,Where were you reliable this week?,reflection,Daily Reflection,long_text,FALSE,
15,Assertiveness formula,Practice: “I feel / I need / I can.”,What assertive moment did you try?,reflection,Daily Reflection,long_text,FALSE,
16,State one preference,Express one small preference early today.,How did stating a preference feel?,reflection,Daily Reflection,long_text,FALSE,
17,No + alternative yes,Practice saying no with a clear alternative.,Where did you use alternative-yes?,reflection,Daily Reflection,long_text,FALSE,
