day_number,assignment_title,assignment_summary,tracker_prompt,field_key,field_label,field_type,field_required,field_options,field_key_2,field_label_2,field_type_2,field_required_2,field_options_2,field_key_3,field_label_3,field_type_3,field_required_3,field_options_3,field_key_4,field_label_4,field_type_4,field_required_4,field_options_4
1,Identify triggers,"Spend time thoughtfully naming the five situations that most often lead you toward frustration, noting patterns you may not have recognized before. This helps build awareness of the moments where emotional regulation begins. Write them down deliberately so you can revisit and refine them later.",What did you notice about your triggers today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
2,Identify physical cues,"List the specific bodily sensations that signal your early signs of tension, such as tightness, heat, or restlessness. These cues often appear before thoughts escalate, so learning to identify them gives you an earlier point of intervention. Treat this as collecting data about your body’s warning system.",What physical cues showed up today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
3,Create interrupt sentence,"Develop a short, respectful sentence you can use when you feel escalation beginning, such as asking for a pause or space. Practice saying it aloud several times so it becomes accessible in the moment. The goal is to create a reliable bridge between awareness and action.",Did you practice your sentence today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
4,Build reset routine,"Choose a simple two-minute routine—such as breathing, grounding, or stepping away—that reliably helps your body return to a calmer baseline. This becomes your go-to strategy when you notice early signals. Practicing it now ensures it is automatic later when emotions run high.",How did your reset routine feel?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
5,Share signals with wife,"Clearly explain to your wife the physical cues you’re learning to notice and the reset plan you intend to use. This transparency helps her understand what you’re working on and creates shared expectations. It also builds trust by showing initiative and accountability.",How did sharing go today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
6,Observe escalation moment,"Pay close attention today to one moment where frustration begins to rise, observing it without judgment. Notice what preceded it and how your body responded. This strengthens your ability to detect escalation earlier next time.",What escalation signs appeared?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
7,Weekly check-in,"Reflect on the patterns you’ve observed this week regarding triggers, cues, and emotional responses. Notice where awareness came more easily and where it was harder. Use this reflection to set intentions for the coming week.",What did you learn this week?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
8,Choose daily pillars,"Select two simple daily actions you commit to doing every day, even during stressful periods. These pillars should be achievable and reinforce stability and reliability. Their purpose is to build consistency in your follow-through.",Did you complete your pillars?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
9,Make micro-commitments,"Set three very small commitments that you can realistically complete today, such as sending a message or completing a tiny task. The point is to practice making promises that you can reliably fulfill. This builds the muscle of follow-through.",Did you follow through today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
10,Re-commit rule,"Practice adjusting a promise respectfully when circumstances change rather than abandoning it or pushing through resentment. This teaches you to manage expectations with honesty. Re-commitment builds trust without overextending yourself.",Where did you re-commit today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
11,Helpful action,"Do something proactively supportive for your wife without being asked, choosing an action that lightens her load. This builds awareness of her experience and reinforces your commitment to partnership. Keep it small, intentional, and sincere.",What supportive action did you take?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
12,Create default plans,"Define a set of recurring responsibilities that you automatically handle without needing reminders or negotiation. This reduces friction and shows reliability. Treat these as habits you are building toward long-term consistency.",Which default plan helped today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
13,Ask wife’s need,"Ask your wife directly what would help her this week, listening openly without defensiveness. This builds connection and shows that you are prioritizing her experience. Act on what she shares in a meaningful way.",What did she say she needed?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
14,Weekly check-in,"Review where you were reliable this week and where you struggled, looking honestly at the pattern. Celebrate the wins and note the gaps without self-judgment. Use this to refine your commitments for next week.",Where were you reliable this week?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
15,Assertiveness formula,"Practice using the structure: 'I feel… I need… I can…' to express yourself clearly and calmly. This helps you communicate without defensiveness or avoidance. Try using it in at least one real interaction today.",What assertive moment did you try?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
16,State one preference,"Name a small preference early in the day—something low stakes—to practice speaking up before frustration builds. This helps you build confidence in expressing yourself sooner. Over time, this lowers resentment and increases clarity.",How did stating a preference feel?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
17,No + alternative yes,"Practice saying no to something small while offering a clear alternative you genuinely can do. This helps create boundaries without shutting down connection. The goal is to be honest while still being collaborative.",Where did you use alternative-yes?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
18,Address micro-resentment,"Notice a small irritation and express it calmly before it grows into frustration or distance. This prevents buildup and creates space for honest connection. Treat it as an experiment in timely communication.",What micro-resentment did you address?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
19,Use neutral statements,"Keep your communication concise, calm, and non-defensive today, especially in moments of tension. Practice using simple phrases that reduce emotional heat. This builds healthier conversational patterns over time.",What neutral phrase did you use?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
20,Assertive request,"Use the assertiveness formula in a real moment to make a clear, respectful request. Focus on tone, timing, and clarity rather than intensity. This helps you practice directness without aggression.",How did your assertive request go?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
21,Weekly check-in,"Look back at the past week and assess your progress in expressing yourself clearly and calmly. Note where you were more assertive and where old patterns resurfaced. Use your reflection to guide next week’s focus.",What changed about your clarity this week?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
22,Rehearse conflict,"Choose a predictable trigger and mentally walk through how you want to respond next time. Visualizing the moment prepares your nervous system for better behavior. Treat this as rehearsal for emotional leadership.",What scenario did you rehearse?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
